iter	Passed	Remaining
604	4614	3012
605	4622	3005
606	4629	2997
607	4637	2990
608	4644	2982
609	4652	2974
610	4660	2967
611	4667	2959
612	4674	2951
613	4683	2944
614	4690	2936
615	4699	2929
616	4706	2921
617	4714	2914
618	4722	2906
619	4730	2899
620	4737	2891
621	4748	2885
622	4757	2878
623	4766	2872
624	4776	2865
625	4783	2857
626	4791	2850
627	4799	2842
628	4808	2835
629	4815	2828
630	4823	2820
631	4830	2812
632	4838	2805
633	4846	2797
634	4854	2790
635	4862	2782
636	4869	2775
637	4877	2767
638	4884	2759
639	4893	2752
640	4900	2744
641	4907	2736
642	4915	2729
643	4923	2721
644	4930	2713
645	4938	2706
646	4945	2698
647	4952	2690
648	4960	2682
649	4967	2674
650	4974	2666
651	4979	2658
652	4986	2650
653	4993	2641
654	4999	2633
655	5006	2625
656	5012	2616
657	5019	2608
658	5025	2600
659	5031	2591
660	5038	2583
661	5044	2575
662	5051	2567
663	5057	2559
664	5064	2551
665	5071	2543
666	5078	2535
667	5085	2527
668	5091	2519
669	5098	2511
670	5105	2503
671	5112	2495
672	5119	2487
673	5125	2479
674	5132	2471
675	5139	2463
676	5147	2455
677	5154	2448
678	5161	2440
679	5169	2432
680	5175	2424
681	5183	2416
682	5190	2409
683	5198	2401
684	5206	2394
685	5216	2387
686	5224	2380
687	5233	2373
688	5241	2366
689	5249	2358
690	5257	2350
691	5267	2344
692	5275	2337
693	5285	2330
694	5292	2322
695	5301	2315
696	5309	2308
697	5319	2301
698	5327	2294
699	5335	2286
700	5343	2279
701	5351	2271
702	5358	2263
703	5367	2256
704	5374	2248
705	5382	2241
706	5389	2233
707	5397	2226
708	5404	2218
709	5411	2210
710	5418	2202
711	5426	2194
712	5432	2186
713	5439	2178
714	5445	2170
715	5451	2162
716	5458	2154
717	5464	2146
718	5470	2137
719	5477	2130
720	5483	2121
721	5489	2113
722	5496	2105
723	5502	2097
724	5508	2089
725	5514	2081
726	5522	2073
727	5528	2065
728	5534	2057
729	5540	2049
730	5546	2041
731	5552	2032
732	5559	2025
733	5566	2017
734	5573	2009
735	5579	2001
736	5587	1994
737	5594	1986
738	5601	1978
739	5608	1970
740	5615	1962
741	5621	1954
742	5629	1947
743	5636	1939
744	5644	1932
745	5652	1924
746	5660	1917
747	5669	1910
748	5678	1902
749	5687	1895
750	5696	1888
751	5705	1881
752	5714	1874
753	5726	1868
754	5735	1861
755	5743	1853
756	5751	1846
757	5760	1838
758	5768	1831
759	5776	1824
760	5784	1816
761	5792	1809
762	5800	1801
763	5809	1794
764	5818	1787
765	5827	1780
766	5836	1773
767	5844	1765
768	5852	1758
769	5859	1750
770	5867	1742
771	5874	1735
772	5882	1727
773	5889	1719
774	5897	1712
775	5904	1704
776	5912	1696
777	5920	1689
778	5926	1681
779	5933	1673
780	5940	1665
781	5947	1658
782	5954	1650
783	5961	1642
784	5968	1634
785	5974	1626
786	5983	1619
787	5990	1611
788	5997	1603
789	6004	1596
790	6011	1588
791	6018	1580
792	6025	1572
793	6032	1565
794	6039	1557
795	6046	1549
796	6053	1541
797	6060	1534
798	6067	1526
799	6075	1518
800	6082	1511
801	6089	1503
802	6097	1495
803	6104	1488
804	6111	1480
805	6118	1472
806	6125	1464
807	6133	1457
808	6140	1449
809	6148	1442
810	6155	1434
811	6163	1427
812	6171	1419
813	6179	1412
814	6187	1404
815	6196	1397
816	6205	1389
817	6213	1382
818	6221	1374
819	6229	1367
820	6237	1359
821	6244	1352
822	6252	1344
823	6260	1337
824	6268	1329
825	6277	1322
826	6285	1314
827	6294	1307
828	6302	1300
829	6311	1292
830	6319	1285
831	6327	1277
832	6334	1269
833	6343	1262
834	6350	1254
835	6358	1247
836	6364	1239
837	6372	1231
838	6380	1224
839	6388	1216
840	6395	1209
841	6402	1201
842	6409	1193
843	6416	1185
844	6423	1178
845	6430	1170
846	6438	1162
847	6445	1155
848	6452	1147
849	6459	1139
850	6468	1132
851	6477	1125
852	6484	1117
853	6491	1109
854	6499	1102
855	6507	1094
856	6514	1087
857	6521	1079
858	6527	1071
859	6534	1063
860	6540	1055
861	6547	1048
862	6554	1040
863	6560	1032
864	6568	1025
865	6575	1017
866	6594	1011
867	6608	1004
868	6620	997
869	6632	991
870	6648	984
871	6662	977
872	6678	971
873	6689	964
874	6697	956
875	6705	949
876	6718	942
877	6736	936
878	6746	928
879	6754	921
880	6762	913
881	6773	906
882	6781	898
883	6789	890
884	6798	883
885	6806	875
886	6814	868
887	6822	860
888	6831	852
889	6838	845
890	6847	837
891	6854	829
892	6861	822
893	6869	814
894	6876	806
895	6884	799
896	6891	791
897	6899	783
898	6905	775
899	6914	768
900	6919	760
901	6926	752
902	6933	744
903	6939	736
904	6947	729
905	6954	721
906	6962	713
907	6969	706
908	6977	698
909	6984	690
910	6991	682
911	6998	675
912	7004	667
913	7012	659
914	7018	652
915	7026	644
916	7033	636
917	7040	628
918	7047	621
919	7054	613
920	7061	605
921	7067	597
922	7074	590
923	7081	582
924	7088	574
925	7095	567
926	7101	559
927	7109	551
928	7116	543
929	7124	536
930	7131	528
931	7139	520
932	7147	513
933	7155	505
934	7161	497
935	7170	490
936	7178	482
937	7186	474
938	7193	467
939	7201	459
940	7209	452
941	7221	444
942	7230	437
943	7241	429
944	7249	421
945	7258	414
946	7266	406
947	7275	399
948	7284	391
949	7292	383
950	7300	376
951	7308	368
952	7316	360
953	7324	353
954	7332	345
955	7340	337
956	7347	330
957	7354	322
958	7361	314
959	7369	307
960	7375	299
961	7382	291
962	7389	283
963	7395	276
964	7402	268
965	7408	260
966	7415	253
967	7421	245
968	7428	237
969	7435	229
970	7441	222
971	7449	214
972	7455	206
973	7462	199
974	7468	191
975	7474	183
976	7481	176
977	7487	168
978	7493	160
979	7499	153
980	7506	145
981	7513	137
982	7519	130
983	7525	122
984	7531	114
985	7537	107
986	7543	99
987	7549	91
988	7555	84
989	7562	76
990	7569	68
991	7575	61
992	7582	53
993	7589	45
994	7597	38
995	7603	30
996	7610	22
997	7617	15
998	7624	7
999	7631	0
